c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
dorado,2039,Löffelente,8,Amur Leopard,3.63977e+06,Reakirt's Blue,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
violeta,2060,Puffin des Baléares,2,Leopard,2.44536e+06,"Blue Copper, ""Varied Blue""","""There are no facts, only interpretations."", Friedrich Nietzsche"
altrosa,2034,Tüpfelsumpfhuhn,8,Lion,1.11802e+06,Sooty Copper,"'The Mark of Zorro', Johnston McCulley"
Cerise,2127,Purpurreiher,8,Asiatic Lion,704495,Pine White,"""Moral indignation is jealousy with a halo."", H. G. Wells"
marrón,2145,Орёл,8,,535576,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
blanc,2083,Голубь,8,Cheetah,728288,Edith's Copper,"'Watership Down', Richard Adams"
жёлтый,2068,Weißwangengans,8,Clouded Leopard,1.81838e+06,"""Verdi"" Sandhill Skipper","'The Mark of Zorro', Johnston McCulley"
красный,2107,Marreca-cabocla,8,,1.67333e+06,Moss' Elfin,"'The Exorcist', William Peter Blatty"
noir,2123,Pipit de Godlewski,8,Mountain Lion,799995,Ringle,"""Charlotte's Web"", E.B. White"
noir,2146,Macuco,8,,1.03462e+06,"Faun, Green Comma","'The Exorcist', William Peter Blatty"
schneeweiß,2117,Голубь,8,Asiatic Cheetah,455445,Red Admiral,"'The Hobbit', J.R.R. Tolkien"
rouge,2143,Purpurreiher,5,,3.07777e+06,Gulf Fritillary,"'The Exorcist', William Peter Blatty"
zitronengelb,2071,Macreuse à bec jaune,8,Mountain Lion,929104,Edith's Checkerspot,"""If you are going through hell, keep going."", Sir Winston Churchill"
blutrot,2139,Голубь,8,,386744,Gulf Fritillary,"""Roget's Thesaurus"", Peter Mark Roget"
jaune,2084,Marreca-cabocla,8,Asiatic Lion,3.56073e+06,Pine White,"'The Exorcist', William Peter Blatty"
altrosa,2052,Ánsar Piquicorto,4,Lion,260390,Anise Swallowtail,"'The Mark of Zorro', Johnston McCulley"
jaune,2027,Löffelente,8,Cheetah,1.52698e+06,Ox-Eyed Satyr,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
pechschwarz,2083,Воробей,8,Asiatic Lion,3.51341e+06,Ringle,"'A Tale of Two Cities', Charles Dickens"
púrpura,2146,Malvasía Cabeciblanca,9,Mountain Lion,1.47814e+06,Pine White,"'The Mark of Zorro', Johnston McCulley"
Red-violet,2126,Macreuse à bec jaune,8,Leopard,1.07544e+06,"Faun, Green Comma","'20,000 Leagues under the Sea', Jules Verne"
黄枯茶,2045,Tüpfelsumpfhuhn,8,,268436,Ox-Eyed Satyr,"""Charlotte's Web"", E.B. White"
pechschwarz,2111,Silbón Europeo,8,Cougar,850244,"""Verdi"" Sandhill Skipper","""Roget's Thesaurus"", Peter Mark Roget"
kohlrabenschwarz,2065,Araqua-pintado,8,Lion,1.43092e+06,"Orange Sulphur, Alfalfa Butterfly","""Roget's Thesaurus"", Peter Mark Roget"
café,2125,Purpurreiher,8,Leopard,771925,Ringle,"'Watership Down', Richard Adams"
jaune,2124,Araqua-pintado,2,Cougar,1.0205e+06,Gulf Fritillary,"""Roget's Thesaurus"", Peter Mark Roget"
altrosa,2145,Silbón Europeo,8,Lion,2.66326e+06,Mylitta Crescent,"'The Grapes of Wrath', John Steinbeck"
altrosa,2139,Goéland d'Amérique,8,Asiatic Lion,1.04065e+06,Behr's Hairstreak,"'A Tale of Two Cities', Charles Dickens"
濡れ羽色,2142,Puffin des Baléares,8,Lion,1.52305e+06,"Faun, Green Comma","'Watership Down', Richard Adams"
Grünspan,2148,Puffin des Baléares,8,,1.90652e+06,Indra Swallowtail,"'A Tale of Two Cities', Charles Dickens"
schneeweiß,2103,Weißwangengans,8,Leopard,3.39137e+06,Pine White,"'Watership Down', Richard Adams"
白湯,2092,Лебедь,5,Clouded Leopard,1.30157e+06,Edith's Checkerspot,"'Watership Down', Richard Adams"
schneeweiß,2029,Ánsar Piquicorto,8,,450367,Peacock Butterfly,"'The Odyssey', Homer"
púrpura,2137,Purpurreiher,8,Clouded Leopard,2.12086e+06,Sooty Copper,"'The Mark of Zorro', Johnston McCulley"
blanc,2132,Purpurreiher,10,,2.35719e+06,Holly Blue,"""Roget's Thesaurus"", Peter Mark Roget"
白湯,2145,Purpurreiher,8,Lion,1.17684e+06,"Faun, Green Comma","'A Tale of Two Cities', Charles Dickens"
暗紅色/暗赤色,2029,Macreuse à bec jaune,2,,386272,Behr's Hairstreak,"""Roget's Thesaurus"", Peter Mark Roget"
rouge,2098,Purpurreiher,8,Clouded Leopard,695381,Mylitta Crescent,"'The Hobbit', J.R.R. Tolkien"
púrpura,2142,Weißwangengans,8,,1.37373e+06,Moss' Elfin,"'The Mark of Zorro', Johnston McCulley"
жёлтый,2077,Pipit de Godlewski,9,,3.78689e+06,Gulf Fritillary,"'The Exorcist', William Peter Blatty"
türkis,2114,Лебедь,8,,120152,"Faun, Green Comma","'The Exorcist', William Peter Blatty"
blutrot,2088,Орёл,8,Asiatic Lion,876548,"Crown Fritillary, Coronis Fritillary","'The Hobbit', J.R.R. Tolkien"
暗紅色/暗赤色,2124,Ánsar Piquicorto,8,,949915,"Faun, Green Comma","'The Exorcist', William Peter Blatty"
rouge,2146,Macreuse à bec jaune,8,,3.86719e+06,Ringle,"""Roget's Thesaurus"", Peter Mark Roget"
altrosa,2110,Орёл,8,,2.09199e+06,Pine White,"'Jaws', Peter Benchley"
marrón,2065,Pica-pau-de-penacho,8,Amur Leopard,1.08679e+06,Gulf Fritillary,"""Roget's Thesaurus"", Peter Mark Roget"
pechschwarz,2082,Malvasía Cabeciblanca,8,Mountain Lion,4.26198e+06,Sooty Copper,"'A Tale of Two Cities', Charles Dickens"
blutrot,2137,Purpurreiher,8,Cougar,415178,Peacock Butterfly,"""Roget's Thesaurus"", Peter Mark Roget"
zitronengelb,2121,Macreuse à bec jaune,8,,169823,Moss' Elfin,"'A Tale of Two Cities', Charles Dickens"
pechschwarz,2142,Malvasía Cabeciblanca,4,Asiatic Lion,2.56912e+06,Holly Blue,"'Watership Down', Richard Adams"
Cerise,2108,Araqua-pintado,8,,2.25954e+06,Ringle,"'Jaws', Peter Benchley"
白湯,2118,Purpurreiher,8,Leopard,751636,"Blue Copper, ""Varied Blue""","""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
púrpura,2122,Araqua-pintado,8,,698754,Dainty Sulphur,"""Where's Wally?"", Martin Handford"
blutrot,2144,Weißwangengans,8,,223350,Holly Blue,"'The Exorcist', William Peter Blatty"
jaune,2081,Воробей,2,Amur Leopard,4.20243e+06,Ox-Eyed Satyr,"'The Godfather', Mario Puzo"
blutrot,2104,Weißwangengans,8,,1.41764e+06,Edith's Checkerspot,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
marrón,2050,Голубь,4,Leopard,2.28008e+06,Mazarine Blue,"'Dune', Frank Herbert"
чёрный,2101,Macuco,0,Cougar,242280,Acmon Blue,"'Don Quixote', Miguel de Cervantes"
rouge,2058,Голубь,8,Mountain Lion,2.73206e+06,"""Agricultural"" Melissa Blue","'Don Quixote', Miguel de Cervantes"
kohlrabenschwarz,2083,Silbón Europeo,8,Asiatic Lion,235721,Sooty Copper,"""Moral indignation is jealousy with a halo."", H. G. Wells"
púrpura,2125,Purpurreiher,2,Snow Leopard,676717,Behr's Hairstreak,"'Shōgun', James Clavell"
暗紅色/暗赤色,2139,Weißwangengans,5,Asiatic Lion,2.91809e+06,Moss' Elfin,"'A Tale of Two Cities', Charles Dickens"
jaune,2066,Purpurreiher,1,Leopard,1.75001e+06,"""Verdi"" Sandhill Skipper","'The Godfather', Mario Puzo"
чёрный,2102,Pipit de Godlewski,8,,4.53454e+06,Ox-Eyed Satyr,"'Catch-22', Joseph Heller"
серый,2146,Purpurreiher,8,Asiatic Cheetah,1.93816e+06,Pine White,"'A Tale of Two Cities', Charles Dickens"
marrón,2118,Weißwangengans,8,Jaguar,272163,Gulf Fritillary,"""Where's Wally?"", Martin Handford"
jaune,2145,Macreuse à bec jaune,1,,751700,"Orange Sulphur, Alfalfa Butterfly","""Where's Wally?"", Martin Handford"
noir,2137,Macuco,8,Jaguar,1.68289e+06,"""Agricultural"" Melissa Blue","""Charlotte's Web"", E.B. White"
pechschwarz,2082,Лебедь,8,,418944,Gulf Fritillary,"'The Exorcist', William Peter Blatty"
rouge,2054,Purpurreiher,8,,2.45111e+06,Dainty Sulphur,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
濡れ羽色,2139,Pipit de Godlewski,8,Cougar,716997,Arctic Skipper,"'The Godfather', Mario Puzo"
Cerise,2107,Weißwangengans,8,Cheetah,281792,"Icarioides Blue, Boisduval's Blue","'Dune', Frank Herbert"
黄枯茶,2060,Воробей,8,,1.92917e+06,Mylitta Crescent,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
jaune,2049,Macreuse à bec jaune,8,Asiatic Lion,1.00284e+06,"Faun, Green Comma","""Moral indignation is jealousy with a halo."", H. G. Wells"
türkis,2035,Araqua-pintado,8,Asiatic Lion,539662,"Orange Sulphur, Alfalfa Butterfly","'The Hobbit', J.R.R. Tolkien"
rouge,2139,Weißwangengans,8,,885186,Arctic Skipper,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
zitronengelb,2129,Голубь,8,,221538,Sooty Copper,"'Catch-22', Joseph Heller"
kohlrabenschwarz,2142,Голубь,8,Snow Leopard,1.06108e+06,Arctic Skipper,"""Charlotte's Web"", E.B. White"
серый,2085,Macuco,8,Asiatic Cheetah,1.44273e+06,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
jaune,2132,Pipit de Godlewski,8,Leopard,1.46912e+06,Ox-Eyed Satyr,"'20,000 Leagues under the Sea', Jules Verne"
серый,2120,Purpurreiher,8,Asiatic Lion,860872,Edith's Copper,"""Do, or do not. There is no 'try'."", Yoda"
jaune,2133,Tüpfelsumpfhuhn,8,Lion,2.04395e+06,"Orange Sulphur, Alfalfa Butterfly","'Watership Down', Richard Adams"
rouge,2147,Голубь,8,Snow Leopard,3.89464e+06,Indra Swallowtail,"""Roget's Thesaurus"", Peter Mark Roget"
ébène,2142,Silbón Europeo,4,Clouded Leopard,2.09325e+06,Indra Swallowtail,"'1984', George Orwell"
ébène,2054,Pipit de Godlewski,8,Lion,2.73818e+06,Ringle,"'The Godfather', Mario Puzo"
blanc,2134,Löffelente,8,Leopard,1.02018e+06,Behr's Hairstreak,"""Roget's Thesaurus"", Peter Mark Roget"
dorado,2118,Pipit de Godlewski,8,Asiatic Lion,1.2366e+06,Ringle,"'The Godfather', Mario Puzo"
schneeweiß,2056,Löffelente,8,,3.16798e+06,Ox-Eyed Satyr,"'1984', George Orwell"
Red-violet,2145,Purpurreiher,8,Asiatic Lion,1.57377e+06,"Orange Sulphur, Alfalfa Butterfly","""Moral indignation is jealousy with a halo."", H. G. Wells"
kohlrabenschwarz,2078,Pipit de Godlewski,8,Cougar,4.2956e+06,"Faun, Green Comma","'1984', George Orwell"
noir,2110,Macreuse à bec jaune,8,Lion,858976,"Orange Sulphur, Alfalfa Butterfly","""Charlotte's Web"", E.B. White"
violeta,2148,Malvasía Cabeciblanca,8,,4.00365e+06,Sandhill Skipper,"'The Mark of Zorro', Johnston McCulley"
jaune,2086,Голубь,8,Asiatic Cheetah,1.3217e+06,Edith's Checkerspot,"'Watership Down', Richard Adams"
café,2149,Воробей,8,Asiatic Lion,482727,Pine White,"'The Mark of Zorro', Johnston McCulley"
красный,2144,Pipit de Godlewski,8,Jaguar,3.11648e+06,"""Verdi"" Sandhill Skipper","'A Tale of Two Cities', Charles Dickens"
türkis,2133,Tüpfelsumpfhuhn,8,,810715,Red Admiral,"'The Exorcist', William Peter Blatty"
kohlrabenschwarz,2102,Pica-pau-de-penacho,8,Asiatic Cheetah,555801,Dainty Sulphur,"'The Exorcist', William Peter Blatty"
violeta,2149,Ánsar Piquicorto,0,Snow Leopard,1.00061e+06,Moss' Elfin,"""Where's Wally?"", Martin Handford"
rouge,2138,Purpurreiher,8,Lion,4.06587e+06,Gulf Fritillary,"'Dune', Frank Herbert"
schneeweiß,2105,Malvasía Cabeciblanca,8,Amur Leopard,1.12102e+06,Mazarine Blue,"""Charlotte's Web"", E.B. White"
púrpura,2043,Голубь,1,,1.70252e+06,Gulf Fritillary,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
blutrot,2146,Silbón Europeo,8,,3.22896e+06,Edith's Copper,"'The Exorcist', William Peter Blatty"
pechschwarz,2038,Purpurreiher,8,,179658,Mylitta Crescent,"'The Exorcist', William Peter Blatty"
fumée,2136,Pipit de Godlewski,5,Asiatic Cheetah,711510,Sooty Copper,"'Shōgun', James Clavell"
красный,2114,Weißwangengans,2,Amur Leopard,2.09628e+06,"Faun, Green Comma","""Where's Wally?"", Martin Handford"
marrón,2125,Löffelente,8,Leopard,224512,"Faun, Green Comma","'The Odyssey', Homer"
café,2101,Puffin des Baléares,8,Asiatic Lion,4.07548e+06,Dainty Sulphur,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
türkis,2021,Malvasía Cabeciblanca,8,,454774,"""Agricultural"" Melissa Blue","""Charlotte's Web"", E.B. White"
fumée,2108,Malvasía Cabeciblanca,8,,199518,"Orange Sulphur, Alfalfa Butterfly","'Watership Down', Richard Adams"
violeta,2103,Araqua-pintado,5,,2.4316e+06,Gulf Fritillary,"'The Odyssey', Homer"
zitronengelb,2112,Лебедь,1,Leopard,1.23271e+06,Moss' Elfin,"""Do, or do not. There is no 'try'."", Yoda"
violeta,2076,Macreuse à bec jaune,8,Leopard,896626,"""Agricultural"" Melissa Blue","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
blutrot,2132,Purpurreiher,1,Leopard,2.33116e+06,Edith's Checkerspot,"'Shōgun', James Clavell"
marrón,2115,Weißwangengans,8,,1.40176e+06,Ox-Eyed Satyr,"'Watership Down', Richard Adams"
красный,2107,Weißwangengans,1,Clouded Leopard,1.03128e+06,"""Agricultural"" Melissa Blue","'The Godfather', Mario Puzo"
blutrot,2108,Silbón Europeo,8,,2.61326e+06,Ox-Eyed Satyr,"'Shōgun', James Clavell"
schneeweiß,2109,Purpurreiher,8,Asiatic Lion,474982,Holly Blue,"'Don Quixote', Miguel de Cervantes"
ébène,2123,Pipit de Godlewski,8,,1.9914e+06,"Faun, Green Comma","'The Odyssey', Homer"
Orange-red,2088,Weißwangengans,8,Lion,932149,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
pechschwarz,2130,Голубь,8,Cheetah,1.569e+06,Red Admiral,"'The Hobbit', J.R.R. Tolkien"
blutrot,2119,Silbón Europeo,8,Jaguar,1.43037e+06,Gulf Fritillary,"""If you are going through hell, keep going."", Sir Winston Churchill"
暗紅色/暗赤色,2038,Araqua-pintado,8,,790860,Monarch,"""Roget's Thesaurus"", Peter Mark Roget"
violeta,2090,Голубь,8,,2.11149e+06,Pine White,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
altrosa,2112,Araqua-pintado,8,Lion,1.87595e+06,Sooty Copper,"'Watership Down', Richard Adams"
pechschwarz,2070,Weißwangengans,8,Jaguar,3.22601e+06,"""Agricultural"" Melissa Blue","""Roget's Thesaurus"", Peter Mark Roget"
kohlrabenschwarz,2122,Araqua-pintado,8,Asiatic Lion,171091,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
türkis,2068,Лебедь,8,Mountain Lion,2.54126e+06,Purple Hairstreak,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
café,2115,Голубь,5,Clouded Leopard,221405,Mylitta Crescent,"""Charlotte's Web"", E.B. White"
jaune,2138,Purpurreiher,8,Cheetah,661027,Moss' Elfin,"'Watership Down', Richard Adams"
blutrot,2060,Purpurreiher,8,,413217,Peacock Butterfly,"""There are no facts, only interpretations."", Friedrich Nietzsche"
türkis,2138,Malvasía Cabeciblanca,4,Cougar,989210,"""Verdi"" Sandhill Skipper","'Shōgun', James Clavell"
黄枯茶,2073,Tüpfelsumpfhuhn,8,Clouded Leopard,521234,"Faun, Green Comma","'The Hobbit', J.R.R. Tolkien"
schneeweiß,2076,Орёл,1,,3.65193e+06,"""Verdi"" Sandhill Skipper","'The Exorcist', William Peter Blatty"
暗紅色/暗赤色,2132,Malvasía Cabeciblanca,8,Mountain Lion,1.73957e+06,Ox-Eyed Satyr,"'The Odyssey', Homer"
café,2024,Macuco,8,Mountain Lion,839644,Ox-Eyed Satyr,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
violeta,2122,Malvasía Cabeciblanca,9,Mountain Lion,1.15481e+06,Peacock Butterfly,"""Moral indignation is jealousy with a halo."", H. G. Wells"
blanc,2079,Weißwangengans,8,,4.55896e+06,Gulf Fritillary,"""Where's Wally?"", Martin Handford"
dorado,2142,Weißwangengans,8,Clouded Leopard,2.00407e+06,Ringle,"'The Odyssey', Homer"
暗紅色/暗赤色,2147,Орёл,8,,924723,"Icarioides Blue, Boisduval's Blue","'Watership Down', Richard Adams"
Grünspan,2040,Malvasía Cabeciblanca,7,Amur Leopard,2.6656e+06,Painted Lady,"""Roget's Thesaurus"", Peter Mark Roget"
rouge,2104,Воробей,8,Asiatic Lion,1.17187e+06,Sooty Copper,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
白湯,2082,Purpurreiher,8,Jaguar,664362,Behr's Hairstreak,"'The Exorcist', William Peter Blatty"
violeta,2133,Malvasía Cabeciblanca,1,Jaguar,1.29011e+06,Edith's Copper,"""There are no facts, only interpretations."", Friedrich Nietzsche"
altrosa,2149,Araqua-pintado,8,,1.28475e+06,"Faun, Green Comma","'Shōgun', James Clavell"
blutrot,2125,Орёл,8,,1.46843e+06,Sooty Copper,"'Dune', Frank Herbert"
紅梅色,2124,Löffelente,5,Leopard,1.59326e+06,Peacock Butterfly,"'Jaws', Peter Benchley"
Grünspan,2129,Malvasía Cabeciblanca,5,,667962,Monarch,"'The Hobbit', J.R.R. Tolkien"
blutrot,2082,Araqua-pintado,8,Leopard,95710,"Crown Fritillary, Coronis Fritillary","""Roget's Thesaurus"", Peter Mark Roget"
blutrot,2127,Araqua-pintado,8,,536943,Gray-Veined White,"'The Godfather', Mario Puzo"
blutrot,2082,Purpurreiher,8,Mountain Lion,1.87459e+06,Mazarine Blue,"'1984', George Orwell"
jaune,2148,Pipit de Godlewski,8,Leopard,2.97142e+06,Ringle,"""Moral indignation is jealousy with a halo."", H. G. Wells"
Grünspan,2120,Лебедь,8,Jaguar,1.66315e+06,Ringle,"""Charlotte's Web"", E.B. White"
kohlrabenschwarz,2047,Weißwangengans,5,Jaguar,2.04727e+06,Ox-Eyed Satyr,"'20,000 Leagues under the Sea', Jules Verne"
黄枯茶,2090,Орёл,2,,2.97934e+06,Gray-Veined White,"'The Hobbit', J.R.R. Tolkien"
жёлтый,2131,Орёл,2,Mountain Lion,790750,Edith's Checkerspot,"'The Mark of Zorro', Johnston McCulley"
rouge,2112,Weißwangengans,8,Mountain Lion,2.2918e+06,Moss' Elfin,"'Catch-22', Joseph Heller"
Grünspan,2100,Malvasía Cabeciblanca,8,Clouded Leopard,944221,Sandhill Skipper,"'A Tale of Two Cities', Charles Dickens"
altrosa,2037,Macreuse à bec jaune,8,Lion,1.63244e+06,Gulf Fritillary,"""There are no facts, only interpretations."", Friedrich Nietzsche"
violeta,2063,Malvasía Cabeciblanca,0,Leopard,41673.5,Ringle,"'The Mark of Zorro', Johnston McCulley"
Grünspan,2113,Воробей,8,,1.40891e+06,Mazarine Blue,"""There are no facts, only interpretations."", Friedrich Nietzsche"
暗紅色/暗赤色,2147,Macreuse à bec jaune,8,,2.83425e+06,Edith's Copper,"'Shōgun', James Clavell"
красный,2110,Löffelente,8,,538010,Edith's Copper,"'1984', George Orwell"
marrón,2140,Puffin des Baléares,2,,2.87875e+06,Dainty Sulphur,"'20,000 Leagues under the Sea', Jules Verne"
красный,2148,Голубь,8,Lion,1.00626e+06,Ox-Eyed Satyr,"'The Mark of Zorro', Johnston McCulley"
púrpura,2079,Воробей,8,Asiatic Cheetah,1.7186e+06,Ox-Eyed Satyr,"'Shōgun', James Clavell"
красный,2134,Löffelente,8,Clouded Leopard,1.83275e+06,Gray-Veined White,"""If you are going through hell, keep going."", Sir Winston Churchill"
púrpura,2117,Воробей,0,,727379,Ox-Eyed Satyr,"'Shōgun', James Clavell"
墨色,2131,Purpurreiher,8,Asiatic Lion,2.57254e+06,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
ébène,2102,Голубь,4,Asiatic Lion,2.6651e+06,Ox-Eyed Satyr,"""Do, or do not. There is no 'try'."", Yoda"
紅梅色,2131,Weißwangengans,1,Leopard,211733,Ringle,"'20,000 Leagues under the Sea', Jules Verne"
濡れ羽色,2098,Purpurreiher,8,Amur Leopard,270013,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
濡れ羽色,2124,Löffelente,8,Asiatic Lion,719445,"Orange Sulphur, Alfalfa Butterfly","'The Grapes of Wrath', John Steinbeck"
café,2122,Löffelente,2,Cheetah,2.12093e+06,"""Verdi"" Sandhill Skipper","""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
blutrot,2069,Pipit de Godlewski,8,Amur Leopard,755834,Red Admiral,"""Charlotte's Web"", E.B. White"
Cerise,2029,Purpurreiher,8,,2.11374e+06,Gulf Fritillary,"""Moral indignation is jealousy with a halo."", H. G. Wells"
púrpura,2101,Weißwangengans,8,Cheetah,1.66275e+06,"""Agricultural"" Melissa Blue","'Dune', Frank Herbert"
jaune,2104,Macuco,8,Leopard,2.50316e+06,Dainty Sulphur,"'Watership Down', Richard Adams"
marrón,2079,Malvasía Cabeciblanca,4,Snow Leopard,520681,Ringle,"""Moral indignation is jealousy with a halo."", H. G. Wells"
коричневый,2134,Ánsar Piquicorto,8,Lion,1.21723e+06,Dainty Sulphur,"""There are no facts, only interpretations."", Friedrich Nietzsche"
blutrot,2087,Macreuse à bec jaune,8,Asiatic Lion,1.19149e+06,Peacock Butterfly,"""If you are going through hell, keep going."", Sir Winston Churchill"
café,2142,Tüpfelsumpfhuhn,8,,377140,Arctic Skipper,"'1984', George Orwell"
pechschwarz,2109,Macreuse à bec jaune,4,Asiatic Cheetah,601680,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
rouge,2095,Purpurreiher,3,Amur Leopard,2.24167e+06,Edith's Checkerspot,"'The Grapes of Wrath', John Steinbeck"
黄枯茶,2006,Tüpfelsumpfhuhn,8,Lion,269867,Gulf Fritillary,"'Shōgun', James Clavell"
濡れ羽色,2142,Pipit de Godlewski,8,Leopard,1.2444e+06,"""Agricultural"" Melissa Blue","'The Odyssey', Homer"
café,2106,Marreca-cabocla,2,Lion,1.62289e+06,Acmon Blue,"""Roget's Thesaurus"", Peter Mark Roget"
jaune,2142,Araqua-pintado,8,Cheetah,2.09849e+06,"Orange Sulphur, Alfalfa Butterfly","'The Exorcist', William Peter Blatty"
türkis,2073,Purpurreiher,8,,1.87045e+06,Holly Blue,"'Watership Down', Richard Adams"
blutrot,2069,Purpurreiher,8,Jaguar,3.3293e+06,Moss' Elfin,"""Roget's Thesaurus"", Peter Mark Roget"
Orange-red,2104,Malvasía Cabeciblanca,4,,551709,"Orange Sulphur, Alfalfa Butterfly","'Shōgun', James Clavell"
blanc,2099,Purpurreiher,8,Mountain Lion,291767,Mylitta Crescent,"'The Exorcist', William Peter Blatty"
rouge,2063,Araqua-pintado,8,Lion,2.19641e+06,Anise Swallowtail,"'Shōgun', James Clavell"
türkis,2143,Purpurreiher,5,Cougar,543926,Ringle,"""Roget's Thesaurus"", Peter Mark Roget"
pechschwarz,2076,Лебедь,8,Lion,2.14277e+06,Sandhill Skipper,"'Shōgun', James Clavell"
blutrot,2108,Tüpfelsumpfhuhn,8,Asiatic Lion,4.12231e+06,Edith's Copper,"'Don Quixote', Miguel de Cervantes"
türkis,2115,Malvasía Cabeciblanca,4,Cheetah,1.76821e+06,"Faun, Green Comma","""If you are going through hell, keep going."", Sir Winston Churchill"
kohlrabenschwarz,2058,Purpurreiher,8,Mountain Lion,314929,"""Agricultural"" Melissa Blue","""There are no facts, only interpretations."", Friedrich Nietzsche"
schneeweiß,2128,Орёл,5,,2.95108e+06,Monarch,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
café,2054,Malvasía Cabeciblanca,8,,2.22354e+06,Sooty Copper,"""Charlotte's Web"", E.B. White"
jaune,2147,Pipit de Godlewski,8,Cheetah,937871,Gray-Veined White,"'1984', George Orwell"
Grünspan,2053,Pipit de Godlewski,8,Cheetah,527168,Sandhill Skipper,"'A Tale of Two Cities', Charles Dickens"
marrón,2124,Purpurreiher,1,Leopard,2.21638e+06,"Faun, Green Comma","'1984', George Orwell"
kohlrabenschwarz,2115,Pipit de Godlewski,8,Cheetah,3.74756e+06,"""Verdi"" Sandhill Skipper","""Charlotte's Web"", E.B. White"
jaune,2057,Tüpfelsumpfhuhn,8,Amur Leopard,859212,Gulf Fritillary,"""Where's Wally?"", Martin Handford"
fumée,2144,Silbón Europeo,8,Cheetah,640452,Gulf Fritillary,"'Catch-22', Joseph Heller"
schneeweiß,2077,Purpurreiher,8,,2.88762e+06,Purple Hairstreak,"'Don Quixote', Miguel de Cervantes"
rouge,2145,Орёл,8,Clouded Leopard,2.619e+06,Edith's Checkerspot,"'The Mark of Zorro', Johnston McCulley"
céruse,2147,Орёл,8,,1.34846e+06,"""Verdi"" Sandhill Skipper","'The Exorcist', William Peter Blatty"
púrpura,2034,Macreuse à bec jaune,8,Cheetah,2.47332e+06,Edith's Copper,"'Catch-22', Joseph Heller"
blutrot,2103,Голубь,8,Lion,1.80298e+06,"""Agricultural"" Melissa Blue","""Do, or do not. There is no 'try'."", Yoda"
blutrot,2077,Goéland d'Amérique,8,Asiatic Cheetah,2.68902e+06,Dainty Sulphur,"'20,000 Leagues under the Sea', Jules Verne"
céruse,2092,Лебедь,8,,2.43415e+06,Ringle,"'Catch-22', Joseph Heller"
céruse,2140,Голубь,8,Leopard,3.01605e+06,Pine White,"""There are no facts, only interpretations."", Friedrich Nietzsche"
Grünspan,2096,Malvasía Cabeciblanca,8,Lion,827941,Edith's Copper,"'The Mark of Zorro', Johnston McCulley"
zitronengelb,2131,Purpurreiher,1,,1.21457e+06,"Blue Copper, ""Varied Blue""","'Don Quixote', Miguel de Cervantes"
marrón,2065,Pipit de Godlewski,8,Asiatic Lion,137391,"Orange Sulphur, Alfalfa Butterfly","'The Hobbit', J.R.R. Tolkien"
türkis,2147,Weißwangengans,2,Jaguar,1.10428e+06,Edith's Copper,"'The Exorcist', William Peter Blatty"
café,2112,Löffelente,8,,2.09005e+06,"""Agricultural"" Melissa Blue","""Charlotte's Web"", E.B. White"
marrón,2003,Purpurreiher,8,Asiatic Lion,2.46576e+06,Sooty Copper,"'20,000 Leagues under the Sea', Jules Verne"
dorado,2136,Silbón Europeo,8,Mountain Lion,256202,Reakirt's Blue,"'The Godfather', Mario Puzo"
красный,2098,Purpurreiher,0,,3.8822e+06,Gulf Fritillary,"'The Mark of Zorro', Johnston McCulley"
türkis,2133,Purpurreiher,8,Jaguar,2.51702e+06,Dainty Sulphur,"'1984', George Orwell"
türkis,2098,Воробей,1,Leopard,3.30851e+06,"Faun, Green Comma","""There are no facts, only interpretations."", Friedrich Nietzsche"
türkis,2115,Macreuse à bec jaune,8,Amur Leopard,493041,Sooty Copper,"""Roget's Thesaurus"", Peter Mark Roget"
altrosa,2120,Silbón Europeo,8,Leopard,3.02961e+06,Behr's Hairstreak,"'The Godfather', Mario Puzo"
