c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
красный,2117,Marreca-cabocla,1,Cheetah,1.03788e+06,37519.2,2.65116e+06,
濡れ羽色,2104,Löffelente,2,Cheetah,1.029e+06,691410,5785.14,
marrón,2057,Pica-pau-de-penacho,0,Snow Leopard,1.77986e+06,143311,743757,
暗紅色/暗赤色,2142,Marreca-cabocla,1,Snow Leopard,2.32365e+06,243491,6.11785e+06,
ébène,2135,Macreuse à bec jaune,2,,1.9065e+06,1.16577e+06,1.184e+06,
altrosa,2131,Ánsar Piquicorto,2,Lion,921690,248963,4.65682e+06,
violeta,2073,Weißwangengans,2,Lion,2.64012e+06,69905.2,8.1274e+06,
чёрный,2074,Голубь,4,,1.01905e+06,665544,1.43967e+06,
Red-violet,2087,Macreuse à bec jaune,1,Lion,1.93872e+06,506414,4.15372e+06,
violeta,2099,Purpurreiher,4,Cougar,1.54617e+06,225611,822126,
jaune,2142,Macreuse à bec jaune,4,,3.29504e+06,1.36209e+06,1.37092e+07,
schneeweiß,2119,Silbón Europeo,0,Cheetah,774323,826888,7.66975e+06,
красный,2057,Воробей,4,Cheetah,1.43042e+06,409894,7.11113e+06,
暗紅色/暗赤色,2096,Purpurreiher,2,Leopard,356302,972162,4.42337e+06,
Cerise,2136,Purpurreiher,1,Lion,599189,734325,7.1944e+06,
marrón,2133,Орёл,0,Lion,3.04715e+06,473117,846643,
kohlrabenschwarz,2084,Goéland d'Amérique,0,,1.81562e+06,92598.6,4.01211e+06,
púrpura,2110,Голубь,4,Jaguar,2.63941e+06,44997.5,264675,
blutrot,2102,Araqua-pintado,4,Cougar,1.04297e+06,746143,2.11168e+06,
violeta,2055,Pica-pau-de-penacho,2,,3.01102e+06,1.12578e+06,3.11559e+06,
